l1_category_group|l2_category|l3_sub_category|commodity_code_reference|labor_rights_risk|hse_risk|contr_manuf_contr_hse_gl|hse_risk_comment2|animal_welfare_risk|bribery_risk|bribery_risk_comment|contractor_safety_risk|ey_id|ey_source
Meetings and Events|External Meetings (includes Investigator Meetings, Stand Alone)|Investigator meeting/R&D related - Speaker Fees|3610720|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Definitely problem sector|If third party arranges for healthcare professionals?|No|138|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Meetings and Events|External Meetings (includes Investigator Meetings, Stand Alone)|Investigator meeting/R&D related - Travel|3610730|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Definitely problem sector|If third party arranges for healthcare professionals?|No|139|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Meetings and Events|External Meetings (includes Investigator Meetings, Stand Alone)|Investigator meeting/R&D related - Hotel & Accommodation|3610740|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Definitely problem sector|If third party arranges for healthcare professionals?|No|140|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Meetings and Events|External Meetings (includes Investigator Meetings, Stand Alone)|Investigator meeting/R&D related - Food and Beverage|3610750|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Definitely problem sector|If third party arranges for healthcare professionals?|No|141|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Meetings and Events|External Meetings (includes Investigator Meetings, Stand Alone)|Virtual and Hybrid Meetings|3610910|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|142|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Meetings and Events|Internal Meetings|Agency ; 3rd Party Logistics ; Management Fees|3615105|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|143|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Meetings and Events|Internal Meetings|Travel|3615410|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If third party arranges travel for healthcare professionals?|No|144|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Meetings and Events|Internal Meetings|Venue and Space Rental|3615510|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If third party arranges the product or service for healthcare professionals?|No|145|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Meetings and Events|Internal Meetings|Food and Beverage|3615520|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If third party arranges the product or service for healthcare professionals?|No|146|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Meetings and Events|Internal Meetings|Hotel and Accommodation|3615530|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If third party arranges the product or service for healthcare professionals?|No|147|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Meetings and Events|Internal Meetings|Booth;AV; Construction|3615540|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|148|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Meetings and Events|Internal Meetings|Virtual and Hybrid Meetings|3615910|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|149|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Consulting and Advisory Services|Consulting - Business and Management|4010040|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If dealing with public sector on Novartis's behalf?|No|150|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Consulting and Advisory Services|IT Advisory Services|4010065|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|151|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Consulting and Advisory Services|IT Systems Integration and Infrastructure Services|4010070|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|152|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Quality Remediation Services|Quality Remediation Services|4015010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|153|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Financial Services|Attestation and Accounting Services|4016010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|154|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Financial Services|Audit Services|4016020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|155|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Financial Services|Tax Services|4016030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If dealing with public sector on Novartis's behalf?|No|156|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Financial Services|Financial, Procurement and Administration Services|4016040|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|157|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Financial Services|Insurance Services (non-benefit related)|4016050|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|158|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|HR Services|Training and Development Services|4020010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|159|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|HR Services|Recruitment Services|4020030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|160|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|HR Services|Global Mobility ; Relocation Services|4020040|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|161|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|HR Services|Compensation and Benefits|4020050|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|162|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|HR Services|Benefit related Insurance Services|4020060|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|163|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Legal Services|Litigation Services|4045110|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If supplier is representing Novartis to the public sector?|No|164|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Legal Services|Settlements|4045120|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|165|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Legal Services|Legal Transactions and Commercial Services|4045170|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If supplier is representing Novartis to the public sector?|No|166|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Legal Services|Legal IP Services (Trademark and Patent)|4045180|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If supplier is representing Novartis to the public sector?|No|167|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|CrossâFunctional Services|Translation Services|4050010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|168|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|CrossâFunctional Services|Document Management Services|4050020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|169|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|CrossâFunctional Services|Cross functional Operational Services|4050030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|170|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Professional Services|Other Professional Services|Other Professional Services|4060999|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|171|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Contingent Labour|Managed Service Provider (MSP)|Managed Service Provider (MSP) - Non-IT|4520010|Possibly problem sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|Yes|172|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Contingent Labour|Managed Service Provider (MSP)|Managed Service Provider (MSP) - IT|4520020|Possibly problem sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|173|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Contingent Labour|Contract Sales Organisations (Field Force)|Contract Sales Organisations (Field Force)|4525010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Definitely problem sector|If sales force is dealing with healthcare professionals?|No|174|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Contingent Labour|Other Contingent Workers|Other Contingent Workers|4530010|Possibly problem sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|175|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Business Travel (excluding Meetings and Events, Corporate Jet)|Lodging;Hotels|Lodging;Hotels|5010010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|176|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Business Travel (excluding Meetings and Events, Corporate Jet)|Air Travel|Air Travel|5015010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|177|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Business Travel (excluding Meetings and Events, Corporate Jet)|Ground Travel|Ground Travel|5020010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|178|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Business Travel (excluding Meetings and Events, Corporate Jet)|Car Hire|Car Hire|5025010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|179|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Business Travel (excluding Meetings and Events, Corporate Jet)|Travel Agency Fees|Travel Agency Fees|5030010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If dealing with healthcare professionals on Novartis's behalf?|No|180|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Business Travel (excluding Meetings and Events, Corporate Jet)|Out of Pocket Expenses|Out of Pocket Expenses - Other PO related|5035900|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|181|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Business Travel (excluding Meetings and Events, Corporate Jet)|Out of Pocket Expenses|Out of Pocket Expenses - Other non PO related|5035999|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|182|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Business Travel (excluding Meetings and Events, Corporate Jet)|Travel - Other|Travel - Other|5040900|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|183|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Fleet|Cars|Cars - Purchase (including service and repair costs)|5105010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|184|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Fleet|Cars|Cars - Leased|5105020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|185|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Fleet|Cars|Car - Fuel|5105030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|186|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Fleet|Cars|Car - Other|5105900|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|187|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Fleet|Airplane|Lease and Service|5110010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|188|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Fleet|Airplane|Purchase, Maintenance and Repair|5110020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|189|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Fleet|Airplane|Airplane - Other|5110999|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|190|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Phase I Centers|Phase I Centers|5510010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Definitely problem sector|If conducting clinical trials?|No|191|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|CRO and Independent Contractor Services|Clinical Monitoring (CRO and independent contractors)|5515010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Definitely problem sector|If conducting clinical trials?|No|192|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|CRO and Independent Contractor Services|Data Management (CRO and independent contractors)|5515020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Definitely problem sector|If conducting clinical trials?|No|193|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|CRO and Independent Contractor Services|Statistical Analysis (CRO and independent contractors)|5515030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Definitely problem sector|If conducting clinical trials?|No|194|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|CRO and Independent Contractor Services|Project Management|5515040|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Definitely problem sector|If conducting clinical trials?|No|195|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|CRO and Independent Contractor Services|CRO and Independent Contractor Services - Other|5515999|No known problem in sector|No known problem in sector|No|""|Definitely problem sector|Definitely problem sector|If conducting clinical trials?|No|196|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Medical Writing|Medical Writing|5535900|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|197|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|HE and OR ; Phase IV|Clinical Services HE and OR outcom research|5540010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If dealing directly with healthcare professionals on Novartis's behalf?|No|198|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|HE and OR ; Phase IV|Clinical Services HE and OR patient registry|5540015|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If dealing directly with healthcare professionals on Novartis's behalf?|No|199|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|HE and OR ; Phase IV|Clinical Services HE and OR licensing|5540020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If dealing directly with healthcare professionals on Novartis's behalf?|No|200|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|HE and OR ; Phase IV|Label Comprehension and Actual Use Studies|5540025|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|201|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|HE and OR ; Phase IV|HE and OR Services|5540100|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|202|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|HE and OR ; Phase IV|Other HE and OR;Phase IV non-CRO services|5540999|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|203|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Drug safety and Epidemiology|Drug safety and Epidemiology - Other|5545900|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|204|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Investigator initiated trials|Investigator initiated trials|5550010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If clinical trial is conducted by an agency?|No|205|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Clinical Central Lab and Diagnostics|Central Labs (including Project Management)|5555010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|206|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Clinical Central Lab and Diagnostics|Reference Labs (including Project Management)|5555015|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|207|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Clinical Central Lab and Diagnostics|Clinical Equipment via outsourced provider|5555025|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|208|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Clinical Central Lab and Diagnostics|Clinical Supplies|5555030|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|209|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Clinical Central Lab and Diagnostics|Imaging;Scans|5555035|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|210|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Clinical Central Lab and Diagnostics|ECG;Holter|5555040|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|211|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Clinical Central Lab and Diagnostics|Spirometry|5555045|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|212|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Clinical Central Lab and Diagnostics|BP Monitoring|5555050|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|213|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Clinical Central Lab and Diagnostics|Biomarker ; Pharmaco Genomic Testing|5555070|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|214|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Clinical Central Lab and Diagnostics|Other Diagnostic Modalities|5555090|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|215|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Pass through Costs|Travel for monitoring|5560010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|216|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Pass through Costs|Pass-through Costs other than for Investigators|5560020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|217|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Start-Up Activities|Study start-up activities|5565010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|218|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Drug Supply|Clinical Trial Medication Packaging|5570010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|219|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Clinical Services|Drug Supply|Clinical Medication Labels;Booklets|5570020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|220|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
